team_long_name,city,team_cleaned,team_and_city
SC Paderborn 07,Paderborn,SC Paderborn 07,SC Paderborn 07 (Paderborn)
FC Ingolstadt 04,Ingolstadt,FC Ingolstadt 04,FC Ingolstadt 04 (Ingolstadt)
SV Darmstadt 98,Darmstadt,SV Darmstadt 98,SV Darmstadt 98 (Darmstadt)
Atalanta,Bergamo,Atalanta,Atalanta (Bergamo)
Siena,Siena,Siena,Siena (Siena)
Cagliari,Cagliari,Cagliari,Cagliari (Cagliari)
Lazio,Rom,Lazio,Lazio (Rom)
Catania,Catania,Catania,Catania (Catania)
Genoa,Genua,Genoa,Genoa (Genua)
Chievo Verona,Verona,Chievo Verona,Chievo Verona (Verona)
Reggio Calabria,Reggio Calabria,Reggio Calabria,Reggio Calabria (Reggio Calabria)
Fiorentina,Florenz,Fiorentina,Fiorentina (Florenz)
Juventus,Turin,Juventus,Juventus (Turin)
Milan,Mailand,Milan,Milan (Mailand)
Bologna,Bologna,Bologna,Bologna (Bologna)
Roma,Rom,Roma,Roma (Rom)
Napoli,Neapel,Napoli,Napoli (Neapel)
Sampdoria,Genua,Sampdoria,Sampdoria (Genua)
Inter,Inter,Inter,Inter (Inter)
Torino,Torino,Torino,Torino (Torino)
Lecce,Lecce,Lecce,Lecce (Lecce)
Udinese,Udine,Udinese,Udinese (Udine)
Palermo,Palermo,Palermo,Palermo (Palermo)
Bari,Bari,Bari,Bari (Bari)
Livorno,Livorno,Livorno,Livorno (Livorno)
Parma,Parma,Parma,Parma (Parma)
Cesena,Cesena,Cesena,Cesena (Cesena)
Brescia,Brescia,Brescia,Brescia (Brescia)
Novara,Novara,Novara,Novara (Novara)
Pescara,Pescara,Pescara,Pescara (Pescara)
Hellas Verona,Verona,Hellas Verona,Hellas Verona (Verona)
Sassuolo,Sassuolo,Sassuolo,Sassuolo (Sassuolo)
Empoli,Empoli,Empoli,Empoli (Empoli)
Frosinone,Frosinone,Frosinone,Frosinone (Frosinone)
Carpi,Carpi,Carpi,Carpi (Carpi)
Vitesse,Arnhem,Vitesse,Vitesse (Arnhem)
FC Groningen,Groningen,FC Groningen,FC Groningen (Groningen)
Roda JC Kerkrade,Kerkrade,Roda JC Kerkrade,Roda JC Kerkrade (Kerkrade)
FC Twente,Enschede,FC Twente,FC Twente (Enschede)
Willem II,Tilburg,Willem II,Willem II (Tilburg)
Ajax,Amsterdam,Ajax,Ajax (Amsterdam)
N.E.C.,Nijmegen,N.E.C.,N.E.C. (Nijmegen)
De Graafschap,Doetinchem,De Graafschap,De Graafschap (Doetinchem)
FC Utrecht,Utrecht,FC Utrecht,FC Utrecht (Utrecht)
PSV,PSV,PSV,PSV (PSV)
